OrderId,OrderProduct,OrderPrice,OrderDate,CustomerId
1,Vesuvius Snow Lichen,$6.02,03/08/2015,1
2,Fancy Nightshade,$1.63,04/06/2014,2
3,Puerto Rico Ridgerunner,$5.64,09/08/2014,3
4,Lettuceleaf Saxifrage,$8.27,18/02/2016,4
5,Cyrtandra,$1.73,15/11/2013,5
6,Great Basin Desert Buckwheat,$8.29,11/11/2016,6
7,Pansch's Racomitrium Moss,$2.98,05/06/2016,7
8,Spiked Bur Grass,$3.28,01/03/2015,8
9,Navel Lichen,$6.31,01/12/2016,9
10,Chess-apple,$4.56,01/02/2015,10
11,Yautia Amarilla,$4.17,07/07/2017,11
12,Common Knotweed,$3.76,20/10/2016,12
13,Rockrose,$6.71,19/02/2017,13
14,Manzanita,$5.11,05/08/2014,14
15,Bentflower Milkvetch,$7.35,01/04/2014,15
16,Leatherleaf Eelvine,$2.62,04/05/2016,16
17,Texas Toothleaf,$4.46,31/05/2014,17
18,Slender Meadowfoam,$3.00,17/12/2012,18
19,Millet Crabgrass,$1.42,28/04/2017,19
20,Gelatinous Skin Lichen,$3.79,10/06/2014,20
21,Wreath Lichen,$8.01,14/02/2017,21
22,Braun's Rockcress,$8.48,30/04/2017,22
23,Nettleleaf Velvetberry,$1.78,02/04/2013,23
24,Lemon Lichen,$9.15,06/05/2016,24
25,Pennsylvania Dung Moss,$9.68,26/02/2016,25
26,American Water Plantain,$1.30,23/04/2016,26
27,Madagascar Grass,$5.10,24/06/2015,27
28,Eggleaf Rosette Grass,$9.82,26/12/2012,28
29,White Hoarypea,$9.78,12/03/2014,29
30,Canada Lily,$8.19,20/09/2015,30
31,Brewer's Monkeyflower,$8.03,30/03/2017,31
32,Texas Wildrye,$3.59,26/08/2015,32
33,Spanish Lady,$2.82,29/12/2016,33
34,Bingham's False Bindweed,$9.55,23/04/2014,34
35,James' Prairie Clover,$7.72,22/10/2014,35
36,Cylindricfruit Primrose-willow,$3.41,01/07/2015,36
37,Perkysue,$4.78,30/01/2016,37
38,Yellow Gilia,$6.59,06/11/2014,38
39,Fairy Flax,$2.51,24/11/2015,39
40,Arizona Snakecotton,$2.80,24/05/2014,40
41,Narrowleaf Gumweed,$7.62,17/02/2013,41
42,Stahl's Staggerbush,$4.60,21/04/2015,42
43,Lavender Oldfield Aster,$2.68,29/07/2016,43
44,Hairy Honeysuckle,$7.09,19/08/2015,44
45,California Evening Primrose,$6.55,15/04/2013,45
46,Scaleleaf Aster,$5.94,19/06/2015,46
47,Thelenella Lichen,$7.51,09/11/2013,47
48,Ibex Buckwheat,$1.61,18/02/2013,48
49,Cuban Beaksedge,$5.54,01/12/2015,49
50,Cluster-flower Cotoneaster,$6.19,29/03/2015,50
51,Neal's Manfern,$6.87,23/03/2015,51
52,Yellow Spring Bedstraw,$2.45,03/12/2014,52
53,Patagonian Cypress,$3.33,21/06/2013,53
54,Stemless Townsend Daisy,$2.19,13/01/2017,54
55,Woodland Creepingfern,$4.78,28/09/2016,55
56,Fevillea,$9.18,21/01/2017,56
57,Bristly Flatsedge,$6.68,25/03/2014,57
58,Pallid Suncup,$2.93,27/05/2017,58
59,Rough Jointfir,$8.76,17/05/2013,59
60,Douglas' Mesamint,$8.84,12/06/2014,60
61,Goosefoot Moonpod,$8.88,06/11/2012,61
62,Jamaican Treefern,$5.52,20/05/2015,62
63,Swordfern,$7.86,07/02/2016,63
64,Orphniospora Lichen,$6.72,06/02/2016,64
65,Tall Oatgrass,$2.94,21/06/2015,65
66,Desert Panicgrass,$8.50,03/10/2016,66
67,King's Sandwort,$1.11,29/03/2015,67
68,Celmisia,$6.42,30/03/2016,68
69,Yellow Asphodel,$9.31,02/09/2015,69
70,Weeping Alkaligrass,$3.24,18/06/2015,70
71,Limestone Phacelia,$4.51,19/07/2014,71
72,Bejuco De Miel,$4.19,13/12/2013,72
73,European Privet,$2.31,25/11/2016,73
74,St. Lawrence Dewberry,$9.90,04/10/2013,74
75,Swordfern,$8.02,10/08/2014,75
76,Hairy Bigleaf Lupine,$1.68,24/01/2014,76
77,Muir's Reedgrass,$4.76,19/05/2016,77
78,Santa Barbara Island Liveforever,$2.66,11/11/2013,78
79,Baby Blue Eyes,$7.15,06/11/2016,79
80,Tifton Burclover,$3.33,28/07/2017,80
81,Contracted Ricegrass,$6.00,06/12/2014,81
82,Common Mallow,$2.74,24/10/2016,82
83,Florida Skin Lichen,$2.61,15/08/2015,83
84,Pinyon Milkvetch,$6.28,02/01/2017,84
85,Coiled Sedge,$8.34,23/05/2017,85
86,Spoonshape Barbara's Buttons,$1.36,03/09/2013,86
87,Bladderwort,$10.00,28/12/2012,87
